Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
Ribas,2013,1,324,325,1,318,319,0.9815385,0.06165599,15.62569,TRAE
Dent,2024,1,292,293,0,294,294,2.00678,0.1829492,22.01248,TRAE
Mai1,2021,51,94,145,27,116,143,1.862835,1.242125,2.793725,TEAE
Cheng,2024,31,191,222,19,197,216,6.222998,4.015461,9.644149,TEAE
Ren,2021,42,338,380,13,172,185,1.572874,0.8660299,2.856638,TEAE
Finn,2020,2,327,329,0,156,156,1.432024,0.1501419,13.65837,TEAE
Qin,2023,2,330,332,0,330,330,2.982036,0.3117656,28.52315,TEAE
Yang,2021,13,121,134,8,121,129,1.564366,0.6707015,3.648777,TRAE
Kelley,2022,4,425,429,1,394,395,3.682984,0.4133928,32.8123,TRAE
Janjigian,2025,157,300,457,144,325,469,1.118907,0.929115,1.347467,TEAE
Sangro,2025,29,125,154,25,175,200,1.506494,0.9211528,2.463785,TEAE
Sangro,2025,27,205,232,25,175,200,0.9310345,0.5590389,1.550563,TEAE
Yue,2025,43,183,226,33,193,226,1.30303,0.8609309,1.972154,TRAE
Peng,2025,4,17,21,6,15,21,0.6666667,0.2194391,2.025366,TEAE
Mitsudomi,2025,13,283,296,14,287,301,0.9442568,0.4515661,1.974508,TEAE
